ano;mes;uo;pessoal
2010;6;2431;252128,98
2010;6;2441;132070,66
2010;6;2451;61338,36
2010;6;3041;12820843,49
2010;6;3051;4348979,41
2010;6;3151;437536,67
2010;6;4291;420093,06
2010;6;4461;381752132,4
2010;7;1071;560137,74
2010;7;1081;3811209,48
2010;7;1101;326238,51
2010;7;1111;51917,41
2010;7;1141;25219,34
2010;7;1161;23641,34
2010;7;1191;53416917,46
2010;7;1221;414701,21
2010;7;1231;377894,88
2010;7;1251;333666595,3
2010;7;1261;338013406,5
2010;7;1271;651112,72
2010;7;1301;689084,13
2010;7;1321;16263940,39
2010;7;1371;1087281,91
2010;7;1401;29095916,84
2010;7;1411;245527,65
2010;7;1451;40838505,75
2010;7;1461;598669,04
2010;7;1471;407107,39
2010;7;1481;1938801,58
2010;7;1491;2169974,32
2010;7;1501;4634685,62
2010;7;1511;56313632,89
2010;7;1521;461037,4
2010;7;1531;471066,84
2010;7;1541;411521,41
2010;7;1941;8526861,05
2010;7;2011;14447035,5
2010;7;2041;158449,96
2010;7;2061;1381184,96
2010;7;2071;224762,59
2010;7;2081;624799,68
2010;7;2091;923239,78
2010;7;2101;3107040,22
2010;7;2111;424214,37
2010;7;2121;46381510,56
2010;7;2141;550526,47
2010;7;2151;599524,39
2010;7;2161;130430,62
2010;7;2171;117252,53
2010;7;2181;897900,58
2010;7;2201;441804,4
2010;7;2211;105279,24
2010;7;2231;153283,05
2010;7;2241;573804,31
2010;7;2251;965194,37
2010;7;2261;2611448,03
2010;7;2271;31956692,82
2010;7;2281;194835,32
2010;7;2301;11118055,05
2010;7;2311;9836219,06
2010;7;2321;5577267,27
2010;7;2331;738139,34
2010;7;2351;3434219,21
2010;7;2371;4941739,98
2010;7;2381;192462,13
2010;7;2391;849043,26
2010;7;2401;205575,99
2010;7;2411;237633,6
2010;7;2421;201340,79
2010;7;2431;254683,75
2010;7;2441;135425,39
2010;7;2451;86667,73
2010;7;3041;15609611,23
2010;7;3051;4555673,16
2010;7;3151;368941,59
2010;7;4291;415201,74
2010;7;4461;386987694,3
2010;8;1071;377008,07
2010;8;1081;3810895,57
2010;8;1101;324456,48
2010;8;1111;51190,09
2010;8;1141;20777,86
2010;8;1161;23731,86
2010;8;1191;51868536,32
2010;8;1221;447902,7
2010;8;1231;373033,42
2010;8;1251;341048366,3
2010;8;1261;314762212,8
2010;8;1271;644819,73
2010;8;1301;694773,18
2010;8;1321;16127091,82
2010;8;1371;1099132,49
2010;8;1401;29338088,76
2010;8;1411;251900,92
2010;8;1451;44923706,31
2010;8;1461;625007,53
2010;8;1471;396503,6
2010;8;1481;1958553,69
2010;8;1491;2245633,88
2010;8;1501;4699654,89
2010;8;1511;55036132,72
2010;8;1521;441495,37
2010;8;1531;485634,06
2010;8;1541;364689,05
2010;8;1941;8457456,09
2010;8;2011;13633623,18
2010;8;2041;177451,46
2010;8;2061;1316771,95
2010;8;2071;295500,24
2010;8;2081;615061,68
2010;8;2091;933417,95
2010;8;2101;3131054,76
2010;8;2111;417876,77
2010;8;2121;46949538,96
2010;8;2141;549052,12
2010;8;2151;554216,79
2010;8;2161;125030,82
2010;8;2171;119322,42
2010;8;2181;929033,29
2010;8;2201;439938,75
2010;8;2211;102742,47
2010;8;2231;144599,35
2010;8;2241;684961,75
2010;8;2251;882392,73
2010;8;2261;2649172,32
2010;8;2271;33205066,29
2010;8;2281;188020,38
2010;8;2301;10587550,88
2010;8;2311;9971909,48
2010;8;2321;4256940,98
2010;8;2331;733663,02
2010;8;2351;3457769,21
2010;8;2371;4852041,28
2010;8;2381;189288,68
2010;8;2391;946378,74
2010;8;2401;196905,78
2010;8;2411;271492,33
2010;8;2421;198934,68
2010;8;2431;265903,63
2010;8;2441;139135,9
2010;8;2451;124988,7
2010;8;3041;13762695,71
2010;8;3051;5105872,95
2010;8;3151;388858,47
2010;8;4291;409859,89
2010;8;4461;395570742,9
2010;9;1071;538946,96
2010;9;1081;3657421,9
2010;9;1101;327763,09
2010;9;1111;52319,77
2010;9;1141;20784,1
2010;9;1161;23326,54
2010;9;1191;52411595,22
2010;9;1221;462096,3
2010;9;1231;389353,57
2010;9;1251;341890716,1
2010;9;1261;322080884,1
2010;9;1271;658228,94
2010;9;1301;649491,76
2010;9;1321;18815386,88
2010;9;1371;1091614,23
2010;9;1401;29792555,44
2010;9;1411;240283,87
2010;9;1451;42482508,22
2010;9;1461;607512,11
2010;9;1471;402745,22
2010;9;1481;2128303,22
2010;9;1491;2137784,19
2010;9;1501;5075634,95
2010;9;1511;55900195,64
2010;9;1521;426424,37
2010;9;1531;447619,65
2010;9;1541;358022,04
2010;9;1941;8580499,43
2010;9;2011;14169013,53
2010;9;2041;169397,4
2010;9;2061;1277650,73
2010;9;2071;229461,84
2010;9;2081;627045,49
2010;9;2091;943690,83
2010;9;2101;3064139,56
2010;9;2111;506855,9
2010;9;2121;47575852,96
2010;9;2141;536322,01
2010;9;2151;541510,74
2010;9;2161;117164,08
2010;9;2171;110303,38
2010;9;2181;997473,14
2010;9;2201;444823,51
2010;9;2211;104056,26
2010;9;2231;152570,08
2010;9;2241;561823,24
2010;9;2251;908626,61
2010;9;2261;2648830,04
2010;9;2271;32946349,84
2010;9;2281;193179,1
2010;9;2301;10640415,23
2010;9;2311;10809828,92
2010;9;2321;4449103,42
2010;9;2331;887516,41
2010;9;2351;3398474,81
2010;9;2371;4880476,5
2010;9;2381;196024,89
2010;9;2391;943310,62
2010;9;2401;190658,91
2010;9;2411;248713,72
2010;9;2421;198574,99
2010;9;2431;267257,89
2010;9;2441;141013,89
2010;9;2451;100675,43
2010;9;3041;14547820,02
2010;9;3051;4558850,23
2010;9;3151;493407,06
2010;9;4291;618766,84
2010;9;4461;400566606
2010;10;1071;533444,25
2010;10;1081;3936610,28
2010;10;1101;313030,55
2010;10;1111;52037,95
2010;10;1141;20784,1
2010;10;1161;25043,24
2010;10;1191;52514566,57
2010;10;1221;410875,45
2010;10;1231;385557,51
2010;10;1251;338899536
2010;10;1261;316576916,5
2010;10;1271;655391,39
2010;10;1301;655173,81
2010;10;1321;18833910,8
2010;10;1371;1091658,71
2010;10;1401;29360362,33
2010;10;1411;236990,41
2010;10;1451;42660062,85
2010;10;1461;543206,52
2010;10;1471;402925,01
2010;10;1481;2162871,14
2010;10;1491;2057783,23
2010;10;1501;4777905,05
2010;10;1511;54747129,18
2010;10;1521;424306,71
2010;10;1531;461473,27
2010;10;1541;354333,87
2010;10;1941;8535561,14
2010;10;2011;14335108,01
2010;10;2041;171759,99
2010;10;2061;1217527,02
2010;10;2071;226306,1
2010;10;2081;622412,87
2010;10;2091;876733,32
2010;10;2101;3142106,7
2010;10;2111;511179,37
2010;10;2121;46487451,2
2010;10;2141;522919,1
2010;10;2151;547575,13
2010;10;2161;196544,6
2010;10;2171;111246,02
2010;10;2181;1028876,12
2010;10;2201;448802,85
2010;10;2211;108463,35
2010;10;2231;145290,77
2010;10;2241;566064,29
2010;10;2251;887129,91
2010;10;2261;2641203,95
2010;10;2271;33656569,44
2010;10;2281;208302,06
2010;10;2301;10841272,35
2010;10;2311;9772056,81
2010;10;2321;4426576
2010;10;2331;886541,28
2010;10;2351;3369721,19
2010;10;2371;4943594,65
2010;10;2381;195861,88
2010;10;2391;857528,22
2010;10;2401;188217,61
2010;10;2411;242558,43
2010;10;2421;203603,1
2010;10;2431;253873,73
2010;10;2441;138637,53
2010;10;2451;115489,66
2010;10;3041;11978565,19
2010;10;3051;4472870,62
2010;10;3151;587393,28
2010;10;4291;632485,24
2010;10;4461;399606513,7
2010;11;1071;885979,47
2010;11;1081;7606654,53
2010;11;1101;616438,03
2010;11;1111;105131,36
2010;11;1141;41538,28
2010;11;1161;47696,52
2010;11;1191;104257884,3
2010;11;1221;826234,74
2010;11;1231;772638,08
2010;11;1251;671281547,4
2010;11;1261;623860151,5
2010;11;1271;1280216,69
2010;11;1301;1287070,99
2010;11;1321;36639736,13
2010;11;1371;1979691,61
2010;11;1401;57992610,56
2010;11;1411;469764,74
2010;11;1451;82602559,71
2010;11;1461;1163721,51
2010;11;1471;798193,3
2010;11;1481;4244383,01
2010;11;1491;4310313,98
2010;11;1501;9435433,59
2010;11;1511;106490784,6
2010;11;1521;829715,96
2010;11;1531;920209,35
2010;11;1541;731168,22
2010;11;1941;16830109,82
2010;11;2011;29182959,8
2010;11;2041;337300,98
2010;11;2061;2324855,04
2010;11;2071;451905,78
2010;11;2081;1214777,06
2010;11;2091;1722053,5
2010;11;2101;6041788,05
2010;11;2111;996207,4
2010;11;2121;92122502,15
2010;11;2141;1058381,91
2010;11;2151;1071740,17
2010;11;2161;235561,63
2010;11;2171;218252,82
2010;11;2181;1971541,14
2010;11;2201;1215575,1
2010;11;2211;207593,84
2010;11;2231;302480,62
2010;11;2241;1109446,45
2010;11;2251;1585209,77
2010;11;2261;4530660,23
2010;11;2271;61928642,31
2010;11;2281;388498,91
2010;11;2301;20395001,8
2010;11;2311;18805008,05
2010;11;2321;7322483,01
2010;11;2331;1758575,57
2010;11;2351;6685441,18
2010;11;2371;9678878,13
2010;11;2381;386215,42
2010;11;2391;1781665,93
2010;11;2401;392051,64
2010;11;2411;472584,37
2010;11;2421;402979,55
2010;11;2431;517885,36
2010;11;2441;270752,06
2010;11;2451;185952,93
2010;11;3041;15767148,15
2010;11;3051;5682323,27
2010;11;3151;569268,19
2010;11;4291;629085,33
2010;11;4461;705135945,3
2010;12;1071;510427,32
2010;12;1081;4486935
2010;12;1101;307110,32
2010;12;1111;54560,89
2010;12;1141;21096,46
2010;12;1161;23639,62
2010;12;1191;54230464,41
2010;12;1221;497064,29
2010;12;1231;409389,79
2010;12;1251;345047785,3
2010;12;1261;320940503,8
2010;12;1271;670728,3
2010;12;1301;640359,75
2010;12;1321;19883824,73
2010;12;1371;1110643,95
2010;12;1401;29354750,69
2010;12;1411;238108,68
2010;12;1451;44953781,15
2010;12;1461;641121,19
2010;12;1471;415967,08
2010;12;1481;2371285,8
2010;12;1491;2431262,62
2010;12;1501;4765908,78
2010;12;1511;56932939
2010;12;1521;414639,16
2010;12;1531;472750,49
2010;12;1541;463019,06
2010;12;1941;8439003,58
2010;12;2011;9154146,04
2010;12;2041;169030,27
2010;12;2061;1210011,85
2010;12;2071;282170,75
2010;12;2081;688378,04
2010;12;2091;1118834,68
2010;12;2101;3141634,65
2010;12;2111;535222,49
2010;12;2121;47598408
2010;12;2141;568608,77
2010;12;2151;541172,48
2010;12;2161;124107,13
2010;12;2171;112317,42
2010;12;2181;1025148,07
2010;12;2201;462509,46
2010;12;2211;112243,42
2010;12;2231;163007,5
2010;12;2241;636595,04
2010;12;2251;890499,5
2010;12;2261;3468690,18
2010;12;2271;34652143,85
2010;12;2281;193519,26
2010;12;2301;10704993,76
2010;12;2311;11025758,38
2010;12;2321;4458104,16
2010;12;2331;1004647,75
2010;12;2351;3425387,45
2010;12;2371;5175951,97
2010;12;2381;206166,63
2010;12;2391;935121,97
2010;12;2401;279476,98
2010;12;2411;250117,6
2010;12;2421;209898,77
2010;12;2431;270204,28
2010;12;2441;130432,29
2010;12;2451;157541,47
2010;12;3041;18560654,64
2010;12;3051;7753240,05
2010;12;3151;693746,19
2010;12;4291;514648,81
2010;12;4461;455419579,7
2011;1;1071;575055,7
2011;1;1081;5540254,43
2011;1;1101;347961,58
2011;1;1111;59198,97
2011;1;1141;20498
2011;1;1161;15739,76
2011;1;1191;57544482,35
2011;1;1221;413621,24
2011;1;1231;419721,73
2011;1;1251;347179812,5
2011;1;1261;419045403,5
2011;1;1271;704612,12
2011;1;1301;638867,78
2011;1;1321;20354847,05
2011;1;1371;1133759,52
2011;1;1401;31013584,66
2011;1;1411;240670,68
2011;1;1451;44467827,76
2011;1;1461;577837,32
2011;1;1471;418013,73
2011;1;1481;2298443,74
2011;1;1491;2416069,87
2011;1;1501;5313495,72
2011;1;1511;59725942,5
2011;1;1521;473558,87
2011;1;1531;513725,22
2011;1;1541;434074,78
2011;1;1941;8336017,66
2011;1;2011;16019110,36
2011;1;2041;167726,25
2011;1;2061;1289953,53
2011;1;2071;297069,45
2011;1;2081;647268,9
2011;1;2091;1008117,96
2011;1;2101;3471422,06
2011;1;2111;562276
2011;1;2121;47234172,62
2011;1;2141;535215,7
2011;1;2151;750882,77
2011;1;2161;157522,14
2011;1;2171;125477,89
2011;1;2181;1241865,18
2011;1;2201;454315,91
2011;1;2211;81758,55
2011;1;2231;142192,69
2011;1;2241;546180,94
2011;1;2251;911647,44
2011;1;2261;2746432,93
2011;1;2271;35522931,05
2011;1;2281;198307,84
2011;1;2301;10841492,8
2011;1;2311;11709842,16
2011;1;2321;5736573,16
2011;1;2331;886195,03
2011;1;2351;3971245,24
2011;1;2371;5295803,58
2011;1;2381;185744,51
2011;1;2391;954602,88
2011;1;2401;240046,75
2011;1;2411;261212,58
2011;1;2421;176900,86
2011;1;2431;253696,11
2011;1;2441;147126,41
2011;1;2451;128143,17
2011;1;3041;11146985,65
2011;1;3051;5090290,05
2011;1;3151;383056,58
2011;1;4291;577174,89
2011;1;4461;413604617,3
2011;2;1071;554414,87
2011;2;1081;5386535,29
2011;2;1101;293700,82
2011;2;1111;56836,58
2011;2;1141;20218,5
2011;2;1161;19687,1
2011;2;1191;57298111,75
2011;2;1221;401885,19
2011;2;1231;469823,01
2011;2;1251;346829874,8
2011;2;1261;355120084,7
2011;2;1271;654946,5
2011;2;1301;625106,91
2011;2;1321;24640597,54
2011;2;1371;1085608,54
2011;2;1401;29871801,84
2011;2;1411;199500,05
2011;2;1451;43328974,96
2011;2;1461;582227,44
2011;2;1471;393930,34
2011;2;1481;2639540,87
2011;2;1491;2488430,57
2011;2;1501;4859021,74
2011;2;1511;56317206,33
2011;2;1521;486558,83
2011;2;1531;447918,17
2011;2;1541;367522,5
2011;2;1571;243424,74
2011;2;1581;69020,4
2011;2;1601;63496,71
2011;2;1941;8460900,25
2011;2;2011;13933715,88
2011;2;2041;195696,7
2011;2;2061;1207643,23
2011;2;2071;244648,46
2011;2;2081;715026,23
2011;2;2091;886464,58
2011;2;2101;3135460,59
2011;2;2111;724594,64
2011;2;2121;47314705,42
2011;2;2141;595315,64
2011;2;2151;632802,12
2011;2;2161;161904,69
2011;2;2171;99675,36
2011;2;2181;999406,93
2011;2;2201;464760,17
2011;2;2211;74832,81
2011;2;2231;127650,11
2011;2;2241;534777,48
2011;2;2251;972016,75
2011;2;2261;2702836,17
2011;2;2271;33701800,79
2011;2;2281;178961,85
2011;2;2301;10469847,4
